No,Chinese,Pinyin,English,Level
4641,遗留,yí liú,"to leave behind, to hand down (to next generation)",6
4642,一律,yí lǜ,"same, uniformly, all, without exception",6
4643,以免,yǐ miǎn,"in order to avoid, for fear that",6
4644,一目了然,yí mù liǎo rán,obvious,6
4645,仪器,yí qì,"instrument, apparatus",6
4646,毅然,yì rán,"firmly, resolutely",6
4647,一如既往,yì rú jì wǎng,"as before, just as in the past",6
4648,衣裳,yī shang,clothes,6
4649,遗失,yí shī,"to lose, to miss",6
4650,仪式,yí shì,"ceremony, ritual",6
4651,意识,yì shí,"consciousness, awareness, to be aware of",6
4652,一丝不苟,yì sī bù gǒu,"meticulous, not one hair out of place",6
4653,意图,yì tú,"intention, purpose",6
4654,依托,yī tuō,"to rely on, to depend on",6
4655,以往,yǐ wǎng,"in the past, formerly",6
4656,意味着,yì wèi zhe,"to mean, to imply, to signify",6
4657,一向,yí xiàng,"always, all along, constantly",6
4658,意向,yì xiàng,"intention, purpose, disposition",6
4659,一再,yí zài,"repeatedly, again and again",6
4660,以至,yǐ zhì,"down to, up to, to such an extent as to",6
4661,以致,yǐ zhì,"as a result, so that, consequently",6
4662,意志,yì zhì,"will, determination",6
4663,抑制,yì zhì,"to inhibit, to restrain, to suppress",6
4664,隐蔽,yǐn bì,"to conceal, to hide",6
4665,引导,yǐn dǎo,"introduction, to guide, to lead, to direct",6
4666,隐患,yǐn huàn,hidden danger,6
4667,隐瞒,yǐn mán,"to conceal, to hide, to cover up",6
4668,阴谋,yīn móu,"plot, conspiracy, machination",6
4669,引擎,yǐn qíng,engine,6
4670,饮食,yǐn shí,food and drink,6
4671,印刷,yìn shuā,"printing, to print",6
4672,隐私,yǐn sī,"one's secrets, private matters",6
4673,音响,yīn xiǎng,"sound, stereo, acoustics",6
4674,引用,yǐn yòng,"to quote, to cite",6
4675,隐约,yǐn yuē,"indistinct, faint",6
4676,应酬,yìng chou,"social niceties, business dinner",6
4677,婴儿,yīng ér,"baby, infant",6
4678,盈利,yíng lì,"profit, gain",6
4679,迎面,yíng miàn,"head-on, face to face",6
4680,英明,yīng míng,"wise, brilliant",6
4681,荧屏,yíng píng,TV screen,6
4682,应邀,yìng yāo,"on invitation, at sbd.'s invitation",6
4683,英勇,yīng yǒng,"bravery, heroic, brave, valiant",6
4684,用功,yòng gōng,"diligent, hardworking",6
4685,永恒,yǒng héng,"eternity, eternal, everlasting",6
4686,拥护,yōng hù,"advocacy, to support, to stand up for, to advocate",6
4687,用户,yòng hù,"user, consumer",6
4688,庸俗,yōng sú,"vulgar, philistine",6
4689,涌现,yǒng xiàn,"to emerge in large numbers, to spring up",6
4690,拥有,yōng yǒu,"to have, to possess",6
4691,勇于,yǒng yú,"to dare to, to have the courage to",6
4692,踊跃,yǒng yuè,"to leap, to jump, enthusiastic, eager",6
4693,诱惑,yòu huò,"temptation, enticement, to entice, to lure, to tempt",6
4694,油腻,yóu nì,"oily, greasy",6
4695,油漆,yóu qī,"oil paints, lacquer, to paint",6
4696,犹如,yóu rú,"similar to, as if, just lik",6
4697,优胜劣汰,yōu shèng liè tài,survival of the fittest,6
4698,有条不紊,yǒu tiáo bù wěn,"methodically, in an orderly way",6
4699,优先,yōu xiān,"priority, preferential",6
4700,优异,yōu yì,"exceptional, outstanding",6
4701,忧郁,yōu yù,"sullen, heavyhearted, melancholy",6
4702,优越,yōu yuè,"superiority, superior, advantageous",6
4703,幼稚,yòu zhì,"childish, immature, naive",6
4704,愈,yù,"to recover, the more ... the more",6
4705,愚蠢,yú chǔn,"stupid, foolish, silly",6
4706,预料,yù liào,"to anticipate, to predict, to expect",6
4707,舆论,yú lùn,public opinion,6
4708,愚昧,yú mèi,"ignorance, ignorant, fatuous",6
4709,渔民,yú mín,fisherman,6
4710,预期,yù qī,"to expect, to anticipate, expected",6
4711,与日俱增,yǔ rì jù zēng,to increase steadily,6
4712,羽绒服,yǔ róng fú,down garment,6
4713,预赛,yù sài,"preliminary competition, heats",6
4714,预算,yù suàn,budget,6
4715,欲望,yù wàng,"desire, longing, appetite",6
4716,预先,yù xiān,"beforehand, prior",6
4717,预言,yù yán,"prophecy, to predict",6
4718,寓言,yù yán,fable,6
4719,予以,yǔ yǐ,"to give, to grant",6
4720,预兆,yù zhào,"omen, portent",6
4721,原告,yuán gào,plaintiff,6
4722,原理,yuán lǐ,"principle, theory",6
4723,园林,yuán lín,"garden, park",6
4724,圆满,yuán mǎn,"satisfactory, perfect",6
4725,源泉,yuán quán,"source, fountain, spring",6
4726,原始,yuán shǐ,"original, primitive, firsthand",6
4727,元首,yuán shǒu,head of state,6
4728,元素,yuán sù,"element, basic element",6
4729,冤枉,yuān wang,"to treat sbd. unjustly, to do sbd. wrong, not worth the effort, not worthwhile",6
4730,原先,yuán xiān,"former, original",6
4731,元宵节,Yuán xiāo jié,Lantern festival,6
4732,岳父,yuè fù,wife's father,6
4733,乐谱,yuè pǔ,"musical score, notation",6
4734,约束,yuē shù,"restriction, constraint, to restrict, to limit to",6
4735,熨,yùn,to iron,6
4736,蕴藏,yùn cáng,"to hold in store, to contain",6
4737,酝酿,yùn niàng,"to brew, to ferment, to incubate (used in abstract way)",6
4738,运算,yùn suàn,"operation (mathematical), to calculate",6
4739,运行,yùn xíng,"to be in motion, to run",6
4740,孕育,yùn yù,"gestation, to be pregnant, to gestate",6
4741,砸,zá,"to smash, to pound, to fail",6
4742,咋,zǎ,"why, how",6
4743,杂技,zá jì,acrobatics,6
4744,杂交,zá jiāo,"hybrid, to hybridize, to cross",6
4745,宰,zǎi,"to butcher, to slaughter",6
4746,在乎,zài hu,"to care about, to mind, to be determined by",6
4747,再接再厉,zài jiē zài lì,"to make persistent efforts, to double one's efforts",6
4748,灾难,zāi nàn,"disaster, catastrophe",6
4749,栽培,zāi péi,"cultivation, planting, to grow, to cultivate",6
4750,在意,zài yì,"to care about, to take to heart",6
4751,攒,zǎn,"to accumulate, to hoard, to save (money)",6
4752,暂且,zàn qiě,"for now, for the moment, temporarily",6
4753,赞叹,zàn tàn,"to gasp in admiration, highly praise",6
4754,赞同,zàn tóng,"to agree with, to approve of",6
4755,赞扬,zàn yáng,"to praise, to commend, to speak highly of",6
4756,赞助,zàn zhù,"assistance, support, to support, to assist, to sponsor",6
4757,造反,zào fǎn,"to rebel, to revolt",6
4758,遭受,zāo shòu,"to suffer, to be subject to",6
4759,糟蹋,zāo tà,"to waste, to wreck, to ruin, to spoil, to insult",6
4760,造型,zào xíng,"modeling, molding, to model, to mold",6
4761,遭殃,zāo yāng,"to go through disaster, to suffer a calamity",6
4762,噪音,zào yīn,"noise, rumble",6
4763,遭遇,zāo yù,"to meet with (sth. unfortunate), to encounter",6
4764,责怪,zé guài,"to blame, to rebuke",6
4765,贼,zéi,thief,6
4766,赠送,zèng sòng,to present as a gift,6
4767,增添,zēng tiān,"to add, to increase",6
4768,渣,zhā,"dregs, sediment, residue",6
4769,扎,zhā,"to prick, to push a needle into",6
4770,眨,zhǎ,"to wink, to blink",6
4771,诈骗,zhà piàn,"to defraud, to swindle",6
4772,扎实,zhā shi,"strong, sturdy, robust",6
4773,债券,zhài quàn,"bond, debenture",6
4774,摘要,zhāi yào,"summary, brief",6
4775,斩钉截铁,zhǎn dīng jié tiě,to be resolute and decisive,6
4776,战斗,zhàn dòu,"fight, battle, to fight, to battle",6
4777,沾光,zhān guāng,to benefit from association with sbd.,6
4778,占据,zhàn jù,"to occupy, to hold",6
4779,占领,zhàn lǐng,"to capture, to occupy",6
4780,战略,zhàn lüè,strategy,6
4781,展示,zhǎn shì,"show, exhibition, demonstration, to show, to reveal, to display",6
4782,战术,zhàn shù,tactics,6
4783,展望,zhǎn wàng,"outlook, prospect, to look ahead",6
4784,展现,zhǎn xiàn,"to unfold, to emerge, to come out",6
4785,崭新,zhǎn xīn,brand new,6
4786,瞻仰,zhān yǎng,look at with reverence,6
4787,战役,zhàn yì,"battle, military campaign",6
4788,占有,zhàn yǒu,"to own, to possess",6
4789,障碍,zhàng ài,"barrier, obstacle, obstruction",6
4790,长辈,zhǎng bèi,elder generation,6
4791,章程,zhāng chéng,"statute, rule",6
4792,帐篷,zhàng peng,tent,6
4793,照料,zhào liào,to take care of,6
4794,着迷,zháo mí,"to be fascinated, to be captivated",6
4795,朝气蓬勃,zhāo qì péng bó,to be full of youthful energy,6
4796,招收,zhāo shōu,"to hire, to recruit",6
4797,招投标,zhāo tóu biāo,"bidding, tender",6
4798,照样,zhào yàng,"in the same way as usual, as before",6
4799,照耀,zhào yào,"shine, illuminate",6
4800,照应,zhào yìng,"to take care of, to look after",6
4801,沼泽,zhǎo zé,"swamp, marsh, wetlands",6
4802,折,zhé,"to break, to bend, to fold, to discount",6
4803,遮挡,zhē dǎng,to shelter from,6
4804,折磨,zhé mó,"torment, to torment",6
4805,折腾,zhē teng,"to do sth. over and over again, to toss about (sleeplessly)",6
4806,阵地,zhèn dì,"front, position",6
4807,镇定,zhèn dìng,"cool, calm",6
4808,振奋,zhèn fèn,"to inspire, to stimulate",6
4809,珍贵,zhēn guì,"precious, valuable",6
4810,震惊,zhèn jīng,"to shock, to astonish",6
4811,镇静,zhèn jìng,"calm, cool, composed",6
4812,阵容,zhèn róng,"line-up (sports), troop arrangement",6
4813,侦探,zhēn tàn,detective,6
4814,珍稀,zhēn xī,rare and precious,6
4815,真相,zhēn xiàng,"actual facts, truth",6
4816,振兴,zhèn xīng,"to develop, to promote, to vitalize",6
4817,镇压,zhèn yā,"suppression, to suppress, to put down",6
4818,真挚,zhēn zhì,"sincerity, sincere, cordial",6
4819,珍珠,zhēn zhū,pearl,6
4820,斟酌,zhēn zhuó,"to consider, to deliberate, to weigh",6
4821,正当,zhèng dāng,"honest, fair, sensible, just when",6
4822,争端,zhēng duān,"controversial issue, point in dispute",6
4823,整顿,zhěng dùn,"to consolidate, to reorganize, to tidy up",6
4824,争夺,zhēng duó,"to fight for, to contend for",6
4825,蒸发,zhēng fā,"evaporation, to evaporate",6
4826,征服,zhēng fú,"to conquer, to subdue",6
4827,正负,zhèng fù,positive and negative,6
4828,正规,zhèng guī,"regular, according to standards",6
4829,正经,zhèng jing,"decent, honourable",6
4830,争气,zhēng qì,"to try to make a good showing, be determined not to fall short",6
4831,正气,zhèng qì,"healthy atmosphere, righteousness",6
4832,政权,zhèng quán,"regime, political power",6
4833,证实,zhèng shí,"to confirm, to verify",6
4834,征收,zhēng shōu,"to levy, to impose, to collect",6
4835,证书,zhèng shū,"credentials, certificate",6
4836,争先恐后,zhēng xiān kǒng hòu,to strive to be the first and fear to be the last,6
4837,争议,zhēng yì,"dispute, controversy",6
4838,正义,zhèng yì,"justice, just, righteous",6
4839,正月,zhēng yuè,first month of the lunar year,6
4840,挣扎,zhēng zhá,"to struggle, to agonize over",6
4841,郑重,zhèng zhòng,"serious, solemn",6
4842,症状,zhèng zhuàng,symptom,6
4843,枝,zhī,"branch Measure, for sticks, rods, pencils, etc.",6
4844,治安,zhì ān,"public security, law and order",6
4845,值班,zhí bān,"to be on duty, to work a shift",6
4846,指标,zhǐ biāo,"norm, index, target",6
4847,直播,zhí bō,live broadcast,6
4848,制裁,zhì cái,"sanctions, punishment, to impose sanction against, to punish",6
4849,支撑,zhī chēng,"to support, to prop up",6
4850,支出,zhī chū,"expense, to spend, to expend",6
4851,致辞,zhì cí,"to make a speech, to address",6
4852,制订,zhì dìng,"to work out, to formulate",6
4853,指定,zhǐ dìng,"to appoint, to designate, to assign",6
4854,脂肪,zhī fáng,fat (body),6
4855,制服,zhì fú,"uniform, to subdue, to bring under control",6
4856,指甲,zhǐ jia,fingernail,6
4857,知觉,zhī jué,"perception, consciousness",6
4858,治理,zhì lǐ,"to govern, to administer",6
4859,智力,zhì lì,intelligence,6
4860,致力于,zhì lì yú,"to devote to, to dedicate to",6
4861,指令,zhǐ lìng,"order, instruction",6
4862,滞留,zhì liú,"stand still, to detain",6
4863,支流,zhī liú,"minor aspects, tributary (river)",6
4864,殖民地,zhí mín dì,colony,6
4865,指南针,zhǐ nán zhēn,compass,6
4866,智能,zhì néng,"intelligence, brainpower, intelligent",6
4867,职能,zhí néng,"function, role",6
4868,支配,zhī pèi,"to control, to dominate",6
4869,志气,zhì qì,"aspiration, ambition, spirit",6
4870,智商,zhì shāng,IQ,6
4871,指示,zhǐ shì,"instruction, to instruct, to point out",6
4872,致使,zhì shǐ,"to cause, to result in",6
4873,指望,zhǐ wàng,"hope, to hope for, to expect, to count on",6
4874,职位,zhí wèi,"position, post, office",6
4875,职务,zhí wù,"post, job, duties",6
4876,支援,zhī yuán,"to support, to provide assistance",6
4877,制约,zhì yuē,"restriction, to restrict, to condition",6
4878,指责,zhǐ zé,"to criticize, to denounce, to accuse",6
4879,制止,zhì zhǐ,"to curb, to stop, to prevent",6
4880,支柱,zhī zhù,"pillar, backbone, mainstay",6
4881,知足常乐,zhī zú cháng lè,to be happy with what one has,6
4882,忠诚,zhōng chéng,"loyalty, loyal, devoted",6
4883,终点,zhōng diǎn,"destination, end point, terminal",6
4884,中断,zhōng duàn,"to break off, to interrupt, to discontinue",6
4885,终究,zhōng jiū,"in the end, after all",6
4886,中立,zhōng lì,"neutrality, neutral",6
4887,肿瘤,zhǒng liú,tumor,6
4888,终年,zhōng nián,"age at death, throughout the year",6
4889,终身,zhōng shēn,"lifelong, all one's life",6
4890,忠实,zhōng shí,"faithful, trustworthy",6
4891,众所周知,zhòng suǒ zhōu zhī,as everyone knows,6
4892,衷心,zhōng xīn,"wholehearted, heartfelt",6
4893,重心,zhòng xīn,"center of gravity, central core",6
4894,中央,zhōng yāng,"center, central authorities, central",6
4895,终止,zhōng zhǐ,"to stop, to end",6
4896,种子,zhǒng zi,seed,6
4897,种族,zhǒng zú,"race, ethnicity",6
4898,州,zhōu,"province, state (e.g. of US)",6
4899,舟,zhōu,boat,6
4900,粥,zhōu,porridge,6
4901,周边,zhōu biān,"periphery, rim",6
4902,周密,zhōu mì,"careful, thorough",6
4903,周年,zhōu nián,anniversary,6
4904,周期,zhōu qī,"period, cycle",6
4905,皱纹,zhòu wén,wrinkle,6
4906,昼夜,zhòu yè,"day and night, 24 hours",6
4907,周折,zhōu zhé,"complication, setback",6
4908,周转,zhōu zhuǎn,"turnover, to circulate, to revolve",6
4909,株,zhū,"tree trunk, tree root, plant Measure, for trees or plants",6
4910,拄,zhǔ,to lean on (a stick),6
4911,主办,zhǔ bàn,"to organize, to sponsor, to host",6
4912,主导,zhǔ dǎo,"to lead, to manage, leading, predominant",6
4913,主管,zhǔ guǎn,"person in charge, boss, to be in charge of",6
4914,助理,zhù lǐ,assistant,6
4915,主流,zhǔ liú,"main stream (of river), main aspect of a matter",6
4916,逐年,zhú nián,year after year,6
4917,主权,zhǔ quán,sovereignty,6
4918,注射,zhù shè,"injection, to inject, to shoot",6
4919,注视,zhù shì,"to watch attentively, to gaze at",6
4920,注释,zhù shì,"annotation, note, to annotate, to comment",6
4921,助手,zhù shǒu,"assistant, helper",6
4922,主题,zhǔ tí,"topic, subject (e-mail)",6
4923,诸位,zhū wèi,"everyone, Ladies and Gentlemen",6
4924,铸造,zhù zào,"casting, founding, to cast, to found",6
4925,驻扎,zhù zhā,to station (troops),6
4926,住宅,zhù zhái,"residence, tenement",6
4927,注重,zhù zhòng,"to emphasize, to attach importance to",6
4928,著作,zhù zuò,"literary work, book, writings, to write",6
4929,拽,zhuài,"to drag, to haul",6
4930,专长,zhuān cháng,"specialty, special skill",6
4931,专程,zhuān chéng,special-purpose trip,6
4932,转达,zhuǎn dá,"to pass on, to convey, to communicate",6
4933,传记,zhuàn jì,biography,6
4934,专科,zhuān kē,"specialized subject, branch",6
4935,专利,zhuān lì,patent,6
4936,转让,zhuǎn ràng,"to transfer, to make over",6
4937,专题,zhuān tí,special topic,6
4938,砖瓦,zhuān wǎ,tiles and bricks,6
4939,转移,zhuǎn yí,"metastasis, to shift, to divert, to transfer",6
4940,转折,zhuǎn zhé,"turn, to turn in the course of an event",6
4941,幢,zhuàng,"Measure, for houses, buildings, etc.",6
4942,装备,zhuāng bèi,"equipment, to equip, to outfit",6
4943,壮观,zhuàng guān,"spectacular, magnificent, imposing, grand",6
4944,壮丽,zhuàng lì,"magnificence, magnificent, majestic, glorious",6
4945,壮烈,zhuàng liè,"brave, heroic",6
4946,装卸,zhuāng xiè,"to load or unload, to assemble or disassemble",6
4947,庄严,zhuāng yán,"solemn, dignified, stately",6
4948,庄重,zhuāng zhòng,"serious, grave, solemn",6
4949,追悼,zhuī dào,"to grieve for, to pay the last tribute to",6
4950,追究,zhuī jiū,"to investigate, to look into",6
4951,准则,zhǔn zé,"norm, standard, criterion",6
4952,琢磨,zhuó mó,"to ponder, to carve and polish",6
4953,着手,zhuó shǒu,"to set out, to start, to put one's hand to it",6
4954,着想,zhuó xiǎng,to consider (other people's needs),6
4955,卓越,zhuó yuè,"excellent, outstanding, distinguished",6
4956,着重,zhuó zhòng,"to stress, to put emphasis on",6
4957,自卑,zì bēi,"to feel inferior, to abase oneself",6
4958,资本,zī běn,capital,6
4959,资产,zī chǎn,"property, assets",6
4960,子弹,zǐ dàn,"bullet, cartridge",6
4961,自发,zì fā,spontaneous,6
4962,自力更生,zì lì gēng shēng,"to rely on your strengths, to be self-reliant",6
4963,自满,zì mǎn,"complacent, self-satisfied",6
4964,字母,zì mǔ,letter (alphabet),6
4965,资深,zī shēn,"senior, deeply qualified",6
4966,姿态,zī tài,"posture, gesture, attitude, bearing",6
4967,滋味,zī wèi,"taste, flavour",6
4968,滋长,zī zhǎng,"to grow, to develop",6
4969,资助,zī zhù,"support, patronage, to sponsor, to subsidize, to give financial assistance",6
4970,自主,zì zhǔ,"autonomy, independence, to decide for oneself",6
4971,总而言之,zǒng ér yán zhī,"in short, in a word",6
4972,总和,zǒng hé,sum,6
4973,纵横,zòng héng,"with great ease, freely, vertically and horizontal",6
4974,踪迹,zōng jì,"trail, trace, footprint",6
4975,棕色,zōng sè,brown,6
4976,宗旨,zōng zhǐ,"objective, aim, purpose",6
4977,揍,zòu,"to beat up, to break to pieces",6
4978,走廊,zǒu láng,"corridor, aisle, piazza",6
4979,走漏,zǒu lòu,"to leak out, to divulge",6
4980,走私,zǒu sī,"smuggling, to smuggle",6
4981,组,zǔ,"group, team, to organize, to form",6
4982,阻碍,zǔ ài,"to obstruct, to hinder, to block",6
4983,祖父,zǔ fù,grandfather (paternal),6
4984,阻拦,zǔ lán,"to stop, to obstruct",6
4985,租赁,zū lìn,"to lease, to rent, to hire",6
4986,阻挠,zǔ náo,"to thwart, to obstruct",6
4987,足以,zú yǐ,"enough to, sufficient to",6
4988,钻石,zuàn shí,diamond,6
4989,钻研,zuān yán,"to study in depth, to dig into",6
4990,嘴唇,zuǐ chún,lip,6
4991,遵循,zūn xún,"to follow, to abide by",6
4992,尊严,zūn yán,"dignity, honour",6
4993,作弊,zuò bì,"to cheat, to practice fraud",6
4994,做东,zuò dōng,to act as host,6
4995,作废,zuò fèi,"to become invalid, to cancel, to delete",6
4996,作风,zuò fēng,"style, attitude, way of work",6
4997,作息,zuò xī,to work and rest,6
4998,左右,zuǒ yòu,"about, approximately, around",6
4999,座右铭,zuò yòu míng,"motto, maxim",6
5000,做主,zuò zhǔ,"to decide, to take charge of, to support",6
